"section","ordinal","kind","caption","verification","source"
"В.1","1","text","ДОДАТОК В ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","2","hint","(обов'язковий) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","3","text","ФОРМИ СТОРІНОК АКТА НА ЗАКРИТТЯ ПРИХОВАНИХ РОБІТ ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","4","text","В.1 Форма першої сторінки ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","5","text","АКТ НА ЗАКРИТТЯ ПРИХОВАНИХ РОБІТ ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","6","rule","_________________________________________________________________________________________ ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","7","hint","(найменування робіт) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","8","text","виконаних в ________________________________________________________________________________  ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","9","hint","(найменування і місце розташування об'єкта будівництва) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","10","text","""____""____________20___ р. ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","11","text","Представник будівельної організації ____________________________________________________________  ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","12","hint","(прізвище, ініціали, посада) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","13","rule","_____________________________________________________________________________________________________ ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","14","text","Представник технічного нагляду замовника ______________________________________________________  ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
